Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12
Tracks 1 to 12
89	1005.00000	609.00000	 	702.00000	699.00000	 	1272.00000	531.00000	 	762.00000	478.50000	 	427.50000	271.50000	 	1370.59211	978.97238	 	547.50000	330.00000	 	243.00000	438.00000	 	1173.00000	550.50000	 	 	 	 	 	 	 	 	 	 
90	1005.00000	607.50000	 	702.00000	697.50000	 	1272.00000	531.00000	 	766.50000	478.50000	 	432.00000	270.00000	 	1370.97954	978.20509	 	549.00000	334.50000	 	246.00000	436.50000	 	1173.00000	550.50000	 	 	 	 	 	 	 	 	 	 
91	1005.00000	609.00000	 	702.00000	699.00000	 	1267.50000	529.50000	 	760.50000	474.00000	 	430.50000	271.50000	 	1371.00000	978.00000	 	549.00000	331.50000	 	244.50000	438.00000	 	1172.17326	553.61727	 	 	 	 	 	 	 	 	 	 
92	1003.50000	607.50000	 	702.00000	703.50000	 	1267.50000	529.50000	 	763.50000	475.50000	 	432.00000	268.50000	 	1366.50000	981.00000	 	550.50000	330.00000	 	246.00000	438.00000	 	1171.98667	553.37819	 	 	 	 	 	 	 	 	 	 
93	1005.00000	606.00000	 	702.00000	705.00000	 	1267.50000	531.00000	 	763.50000	477.00000	 	430.50000	270.00000	 	1366.50000	981.00000	 	552.00000	330.00000	 	244.50000	439.50000	 	1168.50000	553.50000	 	 	 	 	 	 	 	 	 	 
94	1003.50000	606.00000	 	700.50000	702.00000	 	1270.50000	528.00000	 	763.50000	474.00000	 	429.00000	264.00000	 	1366.50000	984.00000	 	552.00000	327.00000	 	246.00000	433.50000	 	1168.50000	549.00000	 	 	 	 	 	 	 	 	 	 
95	1006.50000	610.50000	 	703.50000	702.00000	 	1272.00000	529.50000	 	762.00000	475.50000	 	427.50000	262.50000	 	1368.00000	984.00000	 	552.00000	327.00000	 	246.00000	435.00000	 	1168.50000	547.50000	 	 	 	 	 	 	 	 	 	 
96	1005.00000	612.00000	 	702.00000	705.00000	 	1272.00000	529.50000	 	762.00000	474.00000	 	426.00000	261.00000	 	1371.00000	982.50000	 	552.00000	330.00000	 	244.50000	433.50000	 	1170.00000	547.50000	 	 	 	 	 	 	 	 	 	 
97	1003.50000	610.50000	 	703.50000	702.00000	 	1275.00000	529.50000	 	762.00000	472.50000	 	427.50000	261.00000	 	1371.00000	981.00000	 	555.00000	325.50000	 	244.50000	432.00000	 	1171.50000	549.00000	 	 	 	 	 	 	 	 	 	 
98	1002.00000	610.50000	 	705.00000	702.00000	 	1275.00000	529.50000	 	760.50000	474.00000	 	432.00000	265.50000	 	1371.00000	984.00000	 	556.50000	328.50000	 	244.50000	433.50000	 	1171.50000	549.00000	 	 	 	 	 	 	 	 	 	 
99	1000.50000	610.50000	 	702.00000	700.50000	 	1278.00000	529.50000	 	760.50000	472.50000	 	430.50000	265.50000	 	1369.50000	984.00000	 	559.50000	325.50000	 	243.00000	435.00000	 	1171.50000	549.00000	 	 	 	 	 	 	 	 	 	 
100	1002.00000	612.00000	 	702.00000	699.00000	 	1273.50000	528.00000	 	760.50000	472.50000	 	433.50000	267.00000	 	1372.50000	982.50000	 	561.00000	325.50000	 	249.00000	447.00000	 	1171.50000	549.00000	 	 	 	 	 	 	 	 	 	 
101	1003.50000	610.50000	 	702.00000	696.00000	 	1273.50000	528.00000	 	763.50000	474.00000	 	436.50000	267.00000	 	1372.50000	982.50000	 	561.00000	324.00000	 	244.50000	433.50000	 	1171.50000	547.50000	 	 	 	 	 	 	 	 	 	 
102	1002.00000	610.50000	 	699.00000	696.00000	 	1275.00000	526.50000	 	760.50000	472.50000	 	438.00000	265.50000	 	1372.50000	979.50000	 	561.00000	322.50000	 	238.50000	432.00000	 	1170.00000	552.00000	 	 	 	 	 	 	 	 	 	 
103	1002.00000	607.50000	 	700.50000	697.50000	 	1275.00000	525.00000	 	763.50000	472.50000	 	439.50000	265.50000	 	1375.50000	978.00000	 	561.00000	325.50000	 	243.00000	436.50000	 	1165.50000	547.50000	 	 	 	 	 	 	 	 	 	 
104	1000.50000	609.00000	 	702.00000	697.50000	 	1275.00000	525.00000	 	766.50000	472.50000	 	442.50000	265.50000	 	1375.50000	979.50000	 	562.50000	328.50000	 	243.00000	436.50000	 	1167.00000	549.00000	 	 	 	 	 	 	 	 	 	 
105	997.50000	609.00000	 	702.00000	697.50000	 	1275.00000	525.00000	 	768.00000	477.00000	 	442.50000	264.00000	 	1377.00000	978.00000	 	564.00000	328.50000	 	244.50000	438.00000	 	1164.00000	550.50000	 	 	 	 	 	 	 	 	 	 
106	999.00000	612.00000	 	700.50000	700.50000	 	1275.00000	528.00000	 	769.50000	475.50000	 	441.00000	259.50000	 	1377.00000	979.50000	 	564.00000	330.00000	 	237.00000	433.50000	 	1164.00000	556.50000	 	 	 	 	 	 	 	 	 	 
