Frame	X4	Y4	Flag4	X6	Y6	Flag6	X7	Y7	Flag7	X5	Y5	Flag5	X3	Y3	Flag3	X2	Y2	Flag2	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X1	Y1	Flag1	X8	Y8	Flag8
37	874.5251	414.5171	0	993.7993	586.7257	0	75.0477	363.7935	0	171.7666	640.9220	0	981.0714	585.6521	0	994.5652	562.0072	0																		
38	874.9398	414.5448	0	991.4733	590.7611	0	75.4970	362.8561	0	172.3049	639.8495	0	981.1512	585.1609	0	993.7308	563.4176	0																		
39	874.3758	414.1636	0	992.8346	588.5833	0	73.4293	364.2872	0	172.8751	639.6478	0	986.7055	585.9384	0	993.5833	563.8258	0																		
40	874.4337	413.7829	0	993.6672	587.2477	0	71.2684	365.0873	0	172.6142	640.2019	0	981.2148	585.7106	0	994.2850	562.6075	0																		
41	874.2587	413.7518	0	994.9384	585.8151	0	74.8644	363.8363	0	173.6777	639.4936	0	980.9827	585.8672	0	994.8815	561.4000	0																		
42	873.8714	413.7505	0	994.9621	585.1955	0	75.0613	363.2792	0	174.2383	639.7428	0	980.9455	585.9883	0	994.8438	561.4375	0																		
43	874.8069	413.0702	0	993.0399	583.4907	0	75.2535	363.0529	0	174.9733	640.0079	0	981.2821	585.6613	0																					
44	873.7228	412.7948	0	993.8114	582.9682	0	72.0145	367.3088	0	174.0000	639.0000	0	980.8158	585.8799	0																					
45	874.5129	412.5115	0	992.2288	585.9897	0	70.4219	367.1030	0	170.3776	642.4279	0	981.2074	585.5598	0																					
46	880.9793	418.1758	0	993.0681	584.7779	0	69.0472	367.6340	0	174.0000	640.5000	0	982.0000	585.3848	0																					
47	880.5721	418.5228	0	990.4273	583.8159	0	69.2021	365.8704	0	173.3667	639.9403	0	981.0650	585.9379	0																					
48	881.0490	419.1918	0	991.9527	585.5824	0	70.1751	365.4195	0	173.2081	639.9417	0	980.9361	585.8180	0																					
49	882.6886	420.0672	0	988.6660	585.9102	0	69.7562	365.0049	0	172.5000	640.5000	0																								
50	883.4506	420.5278	0	991.0154	586.2987	0	69.6092	364.8927	0	174.4664	640.0892	0																								
51	883.2948	420.2938	0	991.3425	585.3816	0	69.8615	365.0777	0	174.0000	640.5000	0																								
52	883.6479	420.7873	0	992.5920	585.7708	0	69.5393	365.7925	0	174.6999	639.8505	0																								
53	886.5000	426.0000	0	991.4257	584.0427	0	71.1889	366.6021	0	170.7074	640.2354	0																								
54	883.0393	420.2829	0	990.5400	583.0383	0	75.6238	363.8595	0	172.3155	640.0390	0																								
55	882.7223	420.4009	0	991.7623	583.7874	0	75.3168	363.2670	0	171.0000	637.5000	0																								
56	882.5761	420.3819	0	994.5408	583.6915	0	73.0444	360.9692	0	172.5000	637.5000	0																								
57	881.4359	420.1218	0	994.6104	580.9577	0	73.5000	358.5000	0	172.5000	637.5000	0																								
58	880.9438	420.2447	0	993.4263	581.0674	0	73.2696	360.8435	0	172.5817	639.3492	0																								
59	880.9334	420.2427	0	989.4362	580.0620	0	73.5000	358.5000	0	173.1058	639.4232	0																								
60	880.1405	420.0367	0	988.8064	578.7728	0	72.3596	361.3251	0	177.0000	639.0000	0																								
61	881.0323	420.2904	0	989.7029	578.1914	0	76.5000	355.5000	0	178.5000	637.5000	0																								
62	881.1648	420.2823	0	989.1746	578.6114	0	71.6829	360.6494	0	178.5000	636.0000	0																								
63	882.3516	420.3463	0	991.8694	577.2074	0	70.1632	360.2837	0	174.5575	639.7336	0																								
64	882.3941	420.1232	0	990.1167	577.7582	0	71.2135	361.1153	0	180.0000	637.5000	0																								
65	881.7121	420.1735	0	990.1846	579.1050	0	71.9321	360.0005	0	180.0000	639.0000	0																								
66	878.7202	421.0580	0	990.8262	578.2309	0	69.9996	358.8687	0	178.5000	639.0000	0																								
67	881.7454	420.1491	0	991.0662	579.7508	0	70.7068	359.8414	0	178.5000	639.0000	0																								
68	880.7805	420.0263	0	992.9689	579.9945	0	71.7271	359.1190	0	173.1690	640.0501	0																								
69	881.9613	420.1727	0	994.1858	579.8687	0	71.9397	359.8349	0	173.5313	639.1872	0																								
70	883.2723	420.4877	0	992.8391	577.9356	0	71.7574	359.9605	0	172.8520	639.4438	0																								
71	883.6118	420.6688	0	993.1685	574.6491	0	71.5440	359.8064	0	172.4912	640.0238	0																								
72	883.5675	420.6531	0	995.2873	575.1178	0	72.1388	359.8611	0	171.9282	640.2198	0																								
73	883.6172	420.6079	0	996.8531	573.5905	0	75.0000	358.5000	0	172.4137	639.6802	0																								
74	886.5000	426.0000	0	997.6810	574.2295	0	71.9530	360.6665	0	171.8828	639.8670	0																								
75	883.3926	421.1105	0	999.2478	574.6017	0	72.4839	360.4630	0	172.2271	640.5765	0																								
76	884.0321	421.2636	0	1001.6542	573.6156	0	73.5526	360.2782	0	172.3555	640.1858	0																								
77	886.5000	426.0000	0	999.7209	572.3723	0	70.3277	361.2354	0	172.7424	640.0026	0																								
78	886.5000	426.0000	0	1000.6183	572.1957	0	75.0742	359.4068	0	172.9091	640.7264	0																								
79	886.5000	426.0000	0	1003.2697	572.1152	0	74.7728	359.5416	0	172.2462	640.5164	0																								
80	883.0772	426.3728	0	1003.3281	571.4006	0	74.8116	359.1493	0	171.9520	640.3173	0																								
81	886.5000	426.0000	0	1004.9589	571.0548	0	84.0000	357.0000	0	171.3355	640.4232	0																								
82	886.5000	426.0000	0	1005.5309	570.1072	0	74.3212	359.8708	0	172.1061	639.7742	0																								
83	884.3382	426.4455	0	1004.5398	571.2110	0	73.8535	359.8721	0	171.5816	640.4636	0																								
84	886.5000	426.0000	0	1004.7908	571.5943	0	79.5000	355.5000	0	171.7412	640.1538	0																								
85	886.5000	426.0000	0	1006.8786	571.0303	0	82.5000	352.5000	0	171.9287	640.2219	0																								
86	880.0246	424.5851	0	1004.9170	571.4519	0	76.5459	358.2132	0	168.0327	640.7396	0																								
87	879.8861	424.3263	0	1004.7981	571.1372	0	75.5796	357.6035	0	171.8613	640.4271	0																								
88	879.9767	424.6596	0	1004.4260	570.9257	0	74.8317	357.4597	0	171.3290	640.5813	0																								
89	879.5833	424.1957	0	1004.3558	572.0549	0	73.7408	357.1534	0	171.8478	640.0223	0																								
90	880.0362	424.2995	0	1005.3361	571.3712	0	73.5921	357.9682	0	172.1469	639.9640	0																								
91	879.6504	423.5358	0	1005.6787	574.9868	0	73.8470	357.4482	0	172.5570	640.2317	0																								
92	879.9767	423.9401	0	1005.1032	573.0507	0	73.7668	357.3773	0	177.0000	639.0000	0																								
93	880.0088	424.0777	0	1004.1667	568.8718	0	76.5000	348.0000	0	173.7081	640.6330	0																								
94	880.2493	424.6789	0	1002.0369	564.8031	0	73.6725	356.4972	0	180.0000	640.5000	0																								
95	879.6507	424.3173	0	1003.3572	567.3893	0	71.8789	356.4705	0	175.4085	641.0589	0																								
96	880.2684	424.3178	0	1003.3273	569.9391	0	67.5000	349.5000	0	183.0000	643.5000	0																								
97	879.9390	424.2077	0	1001.5687	571.2661	0	71.9760	357.9210	0	175.5512	641.4710	0																								
98	880.4533	419.8093	0	1000.4706	571.2481	0	71.4804	358.1938	0	183.0000	645.0000	0																								
99	880.3317	420.2534	0	1001.2904	569.0664	0	71.8779	358.8182	0	180.0000	643.5000	0																								
100	880.7063	419.0986	0	1001.5724	567.5510	0	71.8061	358.9447	0	174.0417	641.3591	0																								
101	880.5000	408.0000	0	1001.7860	566.4043	0	73.0469	360.2853	0	174.3452	641.3914	0																								
102	879.8574	418.6690	0	1001.2732	565.0294	0	71.0567	357.8962	0	174.0969	641.2078	0																								
103	879.0000	411.0000	0	997.5635	566.9026	0	69.9282	357.3054	0	174.4853	641.3545	0																								
104	879.7503	418.7495	0	996.7458	564.5357	0	70.7907	357.4338	0	173.8254	639.1089	0																								
105	880.5427	424.3356	0	997.9327	563.3655	0	70.0780	357.0598	0	180.5685	638.3165	0																								
106	880.9129	424.2504	0	998.6829	565.5679	0	63.0000	349.5000	0	182.9800	637.4927	0																								
107	879.7457	419.9740	0	995.9952	564.6481	0	70.0348	356.5293	0	183.9969	636.9946	0																								
108	878.6978	419.2862	0	995.9514	564.4073	0	70.0032	356.1250	0	183.1940	635.2290	0																								
109	879.5632	420.4579	0	997.9769	565.8484	0	69.8688	356.6728	0	177.7106	635.2682	0																								
110	881.4312	425.5594	0	999.1896	567.3612	0	69.3410	356.4169	0	174.2200	637.2435	0																								
111	881.6621	422.8688	0	1001.4239	566.8034	0	69.4680	356.2648	0	173.6463	636.9935	0																								
112	886.5000	426.0000	0	1004.1076	563.8411	0	69.9232	356.1307	0	172.6621	636.0475	0																								
113	884.6982	425.9521	0	1002.6611	564.1715	0	69.5857	356.5437	0	172.6010	636.3436	0																								
114	882.6813	425.6520	0	1002.4414	564.7498	0	70.7996	356.6749	0	172.6553	636.4354	0																								
115	880.7900	425.4068	0	1001.1150	564.9990	0	73.0796	358.2550	0	175.5000	639.0000	0																								
116	882.3555	425.9513	0	1003.3322	566.7621	0	72.3002	357.1818	0	174.0530	636.3869	0																								
117	881.2472	422.8471	0	1005.2081	568.7574	0	73.2831	359.6499	0	173.9490	637.1476	0																								
118	880.3720	421.4554	0	1005.5830	569.8842	0	73.3084	359.7924	0	173.7190	636.7237	0																								
119	874.5000	415.5000	0	1005.8275	571.7060	0	73.2174	359.7470	0	173.6281	637.0135	0																								
120	877.5000	415.5000	0	1008.7499	569.3184	0	73.1401	358.8017	0																											
