Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
83	622.27778	544.18625	 	86.30812	240.43576	 	898.50000	685.50000	 	867.00000	156.00000	 	155.01126	874.92365	 	 	 	 	 	 	 
84	619.50000	535.50000	 	86.21214	240.95835	 	900.00000	687.00000	 	867.00000	157.50000	 	155.27068	875.22949	 	 	 	 	 	 	 
85	621.00000	534.00000	 	85.97460	241.06308	 	898.50000	688.50000	 	865.50000	154.50000	 	157.43500	876.88810	 	 	 	 	 	 	 
86	621.00000	534.00000	 	86.21833	241.59693	 	900.00000	690.00000	 	864.00000	156.00000	 	156.97429	881.45243	 	 	 	 	 	 	 
87	622.50000	534.00000	 	86.17582	240.37488	 	900.00000	691.50000	 	864.00000	156.00000	 	158.10004	881.73759	 	 	 	 	 	 	 
88	622.85154	546.80360	 	86.32129	239.88997	 	900.00000	688.50000	 	864.00000	156.00000	 	155.35758	887.47280	 	 	 	 	 	 	 
89	626.12337	552.64405	 	86.07083	240.31301	 	900.00000	688.50000	 	864.00000	156.00000	 	155.65981	887.72959	 	 	 	 	 	 	 
90	623.10010	549.62094	 	84.06929	240.66818	 	898.50000	690.00000	 	864.00000	157.50000	 	157.86126	881.05540	 	 	 	 	 	 	 
91	623.21074	550.14615	 	83.09028	240.05717	 	900.00000	690.00000	 	864.00000	157.50000	 	155.95177	885.25561	 	 	 	 	 	 	 
92	623.21305	548.96149	 	83.68197	241.03030	 	898.50000	690.00000	 	858.13420	160.60576	 	155.83704	886.22195	 	 	 	 	 	 	 
93	623.47730	549.61316	 	82.53645	239.81696	 	900.00000	691.50000	 	864.00000	157.50000	 	157.89452	882.00976	 	 	 	 	 	 	 
94	624.00000	540.00000	 	83.57048	239.55094	 	900.00000	694.50000	 	865.50000	154.50000	 	157.96411	884.61632	 	 	 	 	 	 	 
95	625.50000	540.00000	 	83.22959	240.61019	 	903.00000	693.00000	 	859.50000	154.50000	 	157.10837	885.22078	 	 	 	 	 	 	 
96	624.00000	540.00000	 	83.77216	239.69904	 	906.00000	691.50000	 	861.00000	154.50000	 	159.11190	888.59101	 	 	 	 	 	 	 
97	625.50000	541.50000	 	83.85529	239.07827	 	904.50000	691.50000	 	864.00000	154.50000	 	159.60714	887.85047	 	 	 	 	 	 	 
98	621.53628	546.53249	 	84.01664	239.26449	 	904.50000	688.50000	 	862.50000	154.50000	 	160.40704	887.02414	 	 	 	 	 	 	 
99	625.50000	540.00000	 	84.27666	239.01919	 	904.50000	688.50000	 	864.00000	153.00000	 	159.85845	886.17424	 	 	 	 	 	 	 
100	627.00000	541.50000	 	83.98783	239.38351	 	906.00000	690.00000	 	861.00000	153.00000	 	160.38526	885.21785	 	 	 	 	 	 	 
101	 	 	 	83.45883	241.12706	 	906.00000	690.00000	 	862.50000	151.50000	 	160.99905	885.65342	 	 	 	 	 	 	 
102	 	 	 	83.29373	243.61238	 	904.50000	691.50000	 	861.00000	153.00000	 	159.62807	885.94838	 	 	 	 	 	 	 
103	 	 	 	82.95120	245.06591	 	904.50000	694.50000	 	861.00000	154.50000	 	159.32435	885.16796	 	 	 	 	 	 	 
104	 	 	 	 	 	 	906.00000	696.00000	 	862.50000	154.50000	 	157.52986	886.96100	 	47.66029	223.27329	 	 	 	 
105	 	 	 	 	 	 	904.50000	696.00000	 	864.00000	156.00000	 	156.32070	885.81811	 	48.49611	223.72095	 	 	 	 
106	 	 	 	 	 	 	904.50000	693.00000	 	862.50000	156.00000	 	155.81014	885.24520	 	48.48757	224.67274	 	 	 	 
107	 	 	 	 	 	 	906.00000	693.00000	 	862.50000	157.50000	 	154.01723	884.31382	 	49.50828	224.21788	 	 	 	 
108	 	 	 	 	 	 	906.00000	691.50000	 	861.00000	156.00000	 	156.86971	884.41433	 	48.99911	224.13899	 	 	 	 
109	 	 	 	 	 	 	906.00000	691.50000	 	861.00000	156.00000	 	157.11197	885.71134	 	49.52150	223.03429	 	 	 	 
110	 	 	 	 	 	 	904.50000	690.00000	 	861.00000	156.00000	 	156.53863	886.36925	 	48.72144	222.55062	 	 	 	 
111	 	 	 	 	 	 	903.00000	691.50000	 	861.00000	157.50000	 	156.02206	885.37386	 	49.59824	224.33847	 	 	 	 
112	 	 	 	 	 	 	903.00000	693.00000	 	862.50000	157.50000	 	157.04745	883.74423	 	50.05652	225.10465	 	 	 	 
113	 	 	 	 	 	 	906.00000	693.00000	 	864.00000	159.00000	 	158.81000	883.45602	 	50.53200	225.69812	 	 	 	 
114	 	 	 	 	 	 	904.50000	693.00000	 	861.00000	157.50000	 	159.45290	882.98323	 	50.25357	225.90873	 	 	 	 
115	 	 	 	 	 	 	904.50000	693.00000	 	862.50000	156.00000	 	158.62127	882.50693	 	49.20031	225.23224	 	 	 	 
116	 	 	 	 	 	 	906.00000	693.00000	 	864.00000	154.50000	 	158.14976	882.87373	 	49.80185	226.99215	 	 	 	 
117	 	 	 	 	 	 	904.50000	696.00000	 	864.00000	154.50000	 	159.75354	884.71057	 	48.90467	226.11747	 	 	 	 
118	 	 	 	 	 	 	903.00000	699.00000	 	865.50000	153.00000	 	159.58066	883.43286	 	49.26768	225.51980	 	 	 	 
119	 	 	 	 	 	 	903.00000	699.00000	 	868.50000	151.50000	 	158.74829	883.64748	 	49.46836	225.61140	 	 	 	 
120	 	 	 	 	 	 	903.00000	699.00000	 	868.50000	151.50000	 	159.53122	882.68437	 	50.54138	227.26574	 	 	 	 
121	 	 	 	 	 	 	903.00000	696.00000	 	870.00000	153.00000	 	161.00743	882.57077	 	49.19111	226.18382	 	 	 	 
122	 	 	 	 	 	 	903.00000	699.00000	 	870.00000	153.00000	 	160.95512	883.42620	 	48.69058	225.91901	 	 	 	 
123	 	 	 	 	 	 	904.50000	699.00000	 	873.00000	151.50000	 	159.65470	884.72099	 	49.22401	226.04405	 	 	 	 
124	 	 	 	 	 	 	906.00000	700.50000	 	870.00000	153.00000	 	160.16617	884.81636	 	50.05196	227.07794	 	 	 	 
125	 	 	 	 	 	 	906.00000	702.00000	 	867.00000	151.50000	 	161.12391	885.27448	 	 	 	 	 	 	 
126	 	 	 	 	 	 	909.00000	702.00000	 	867.00000	151.50000	 	160.60242	883.77481	 	50.44458	226.86418	*	 	 	 
127	 	 	 	 	 	 	907.50000	702.00000	 	865.50000	151.50000	 	160.39265	883.98744	 	 	 	 	 	 	 
128	 	 	 	 	 	 	909.00000	700.50000	 	865.50000	151.50000	 	159.87373	884.69813	 	 	 	 	 	 	 
129	 	 	 	 	 	 	909.00000	700.50000	 	867.00000	151.50000	 	162.34202	883.28212	 	48.78730	226.28861	*	 	 	 
130	 	 	 	 	 	 	910.50000	702.00000	 	867.00000	151.50000	 	162.87603	881.27980	 	49.54247	225.77300	 	 	 	 
131	 	 	 	 	 	 	909.00000	700.50000	 	868.50000	150.00000	 	163.38258	882.62435	 	50.02391	225.75373	 	 	 	 
132	 	 	 	 	 	 	909.00000	699.00000	 	870.00000	150.00000	 	162.93759	883.69350	 	50.07718	224.58480	 	 	 	 
133	 	 	 	 	 	 	907.50000	700.50000	 	868.50000	151.50000	 	162.92053	883.62936	 	49.99246	223.51076	 	 	 	 
134	 	 	 	 	 	 	904.50000	700.50000	 	865.50000	151.50000	 	162.42671	886.28834	 	50.45637	224.48299	 	 	 	 
135	 	 	 	 	 	 	903.00000	700.50000	 	864.00000	151.50000	 	161.91586	886.14738	 	50.40079	224.71584	 	 	 	 
136	 	 	 	 	 	 	904.50000	702.00000	 	868.50000	150.00000	 	163.12591	887.75149	 	50.90509	223.67965	 	 	 	 
