video,date,prefix,trial,bead_um,solute_pct,solute_type,eta_mPas,fps,n_segments,D_variance,D_var_err,D_gauss,D_gauss_err,D_msd,D_msd_err,D_var_raw,D_gauss_raw,D_msd_raw,D_noise,D_theory,D_mid,D_wall,F_mid,alpha,alpha_err,dev_pct
r5-1mu-0_5p-1_15ul-water-400ul-gly-100ul-trial2-tracker,2026-03-05,r5,2,1.000000,20.000000,Glycerol,1.694385,29.000000,4,0.254491,0.007043,0.253729,0.007043,0.231861,0.006378,0.272526,0.271764,0.249897,0.018036,0.254371,0.250903,0.246448,0.986365,1.020868,0.023579,-1.677632
r6-2_1mu-0_5p-4ul-water-398ul-gly-100l-trial1-tracker,2026-03-05,r6,1,2.100000,20.080321,Glycerol,1.698680,29.000000,3,0.135654,0.005883,0.131804,0.005883,0.129912,0.002814,0.153690,0.149839,0.147948,0.018036,0.120815,0.117357,0.112931,0.971380,0.694240,0.045572,12.866422
r6-2_1mu-0_5p-4ul-water-398ul-gly-100l-trial2-tracker,2026-03-05,r6,2,2.100000,20.080321,Glycerol,1.698680,29.000000,4,0.110084,0.012649,0.110535,0.012649,0.114494,0.004032,0.128120,0.128571,0.132530,0.018036,0.120815,0.117357,0.112931,0.971380,0.882279,0.027401,-4.816330
r7-3mu-0_5p-3ul-water-397ul-gly-100ul-trial1-tracker,2026-03-05,r7,1,3.000000,20.120724,Glycerol,1.700846,29.000000,2,0.111871,0.005952,0.111628,0.005952,0.084410,0.003352,0.129907,0.129664,0.102446,0.018036,0.084464,0.081013,0.076615,0.959139,0.780194,0.036504,26.691445
r7-3mu-0_5p-3ul-water-397ul-gly-100ul-trial2-tracker,2026-03-05,r7,2,3.000000,20.120724,Glycerol,1.700846,29.000000,4,0.071210,0.002727,0.071962,0.002727,0.070332,0.001596,0.089245,0.089998,0.088368,0.018036,0.084464,0.081013,0.076615,0.959139,1.000926,0.022971,-12.152554
r7-3mu-0_5p-3ul-water-397ul-gly-100ul-trial3-tracker,2026-03-05,r7,3,3.000000,20.120724,Glycerol,1.700846,29.000000,4,0.076856,0.008497,0.074737,0.008497,0.077307,0.002109,0.094892,0.092772,0.095342,0.018036,0.084464,0.081013,0.076615,0.959139,1.183241,0.030373,-5.818232
r8-5mu-0_5p-20ul-water-390ul-gly-100ul-trial1-tracker,2026-03-05,r8,1,5.000000,20.408163,Glycerol,1.716376,29.000000,3,0.030087,0.002988,0.032875,0.002988,0.024784,0.000888,0.048123,0.050911,0.042819,0.018036,0.050200,0.046789,0.042510,0.932041,0.791603,0.014537,-37.487735
r8-5mu-0_5p-20ul-water-390ul-gly-100ul-trial2-tracker,2026-03-05,r8,2,5.000000,20.408163,Glycerol,1.716376,29.000000,3,0.000000,0.007928,0.000000,0.007928,0.000000,0.001178,0.016584,0.009103,0.011282,0.018036,0.050200,0.046789,0.042510,0.932041,1.200090,0.035072,-100.000000
r8-5mu-0_5p-20ul-water-390ul-gly-100ul-trial3-tracker,2026-03-05,r8,3,5.000000,20.408163,Glycerol,1.716376,29.000000,2,0.028272,0.001301,0.029998,0.001301,0.036194,0.000587,0.046308,0.048034,0.054229,0.018036,0.050200,0.046789,0.042510,0.932041,1.439158,0.039291,-32.701556
s1b-3um-0_5p-2_5ul-water-597_5ul-gly-0ul-trial3-tracker,2026-03-05,s1b,3,3.000000,0.000000,Glycerol,0.980687,29.000000,5,0.059042,0.003347,0.061263,0.003347,0.072019,0.005202,0.077078,0.079299,0.090055,0.018036,0.146493,0.140508,0.132880,0.959139,0.489505,0.141419,-54.373872
s1b-3um-0_5p-2_5ul-water-597_5ul-gly-0ul-trial4-tracker,2026-03-05,s1b,4,3.000000,0.000000,Glycerol,0.980687,29.000000,5,0.059743,0.005101,0.057678,0.005101,0.068249,0.002395,0.077779,0.075713,0.086285,0.018036,0.146493,0.140508,0.132880,0.959139,0.908861,0.010241,-55.952691
s1b-3um-0_5p-2_5ul-water-597_5ul-gly-0ul-trial5-tracker,2026-03-05,s1b,5,3.000000,0.000000,Glycerol,0.980687,29.000000,4,0.007640,0.002101,0.006678,0.002101,0.000000,0.000290,0.025676,0.024714,0.007256,0.018036,0.146493,0.140508,0.132880,0.959139,0.202599,0.022790,-96.603136
s2a-1um-0_5p-2_3ul-water-3997ul-gly-1000ul-trial2-tracker,2026-03-05,s2a,2,1.000000,20.012007,Glycerol,1.695026,29.000000,3,0.248010,0.004610,0.257051,0.004610,0.261182,0.002595,0.266046,0.275087,0.279218,0.018036,0.254280,0.250813,0.246360,0.986365,1.156712,0.011523,1.834598
s2a-1um-0_5p-2_3ul-water-3997ul-gly-1000ul-trial3-tracker,2026-03-05,s2a,3,1.000000,20.012007,Glycerol,1.695026,29.000000,1,0.317021,0.005195,0.306632,0.005195,0.360688,0.000000,0.335057,0.324667,0.378724,0.018036,0.254280,0.250813,0.246360,0.986365,0.847929,0.013946,30.819838
s2b-3um-0_5p-2_3ul-water-3997ul-gly-1000ul-trial1-tracker,2026-03-05,s2b,1,3.000000,20.012007,Glycerol,1.695026,29.000000,2,0.093448,0.021423,0.097092,0.021423,0.071132,0.001923,0.111484,0.115128,0.089167,0.018036,0.084760,0.081297,0.076883,0.959139,1.298677,0.026974,7.290882
s2b-3um-0_5p-2_3ul-water-3997ul-gly-1000ul-trial2-tracker,2026-03-05,s2b,2,3.000000,20.012007,Glycerol,1.695026,29.000000,1,0.081039,0.003171,0.074697,0.003171,0.086055,0.000711,0.099074,0.092733,0.104091,0.018036,0.084760,0.081297,0.076883,0.959139,1.302013,0.050783,-0.860587
s2b-3um-0_5p-2_3ul-water-3997ul-gly-1000ul-trial3-tracker,2026-03-05,s2b,3,3.000000,20.012007,Glycerol,1.695026,29.000000,1,0.031927,0.002678,0.026570,0.002678,0.027305,0.000000,0.049963,0.044606,0.045340,0.018036,0.084760,0.081297,0.076883,0.959139,1.439003,0.059244,-64.819395
s2c-1um-0_5p-11_5ul-water-3978_5ul-gly-1000ul-trial1-tracker,2026-03-05,s2c,1,1.000000,20.086371,Glycerol,1.699004,29.000000,3,0.189265,0.011003,0.188158,0.011003,0.212397,0.007230,0.207300,0.206194,0.230433,0.018036,0.253679,0.250221,0.245778,0.986365,0.698343,0.049166,-21.426689
