Frame	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X9	Y9	Flag9	X8	Y8	Flag8	X6	Y6	Flag6	X16	Y16	Flag16	X17	Y17	Flag17	X7	Y7	Flag7	X4	Y4	Flag4	X3	Y3	Flag3	X5	Y5	Flag5	X18	Y18	Flag18	X2	Y2	Flag2	X14	Y14	Flag14	X15	Y15	Flag15	X1	Y1	Flag1
25	1312.5000	198.0000	0	843.0000	97.5000	0	939.0000	922.5000	0	723.0000	969.0000	0	1215.0000	994.5000	0	378.0000	1000.5000	0	652.5000	912.0000	0	1395.0000	745.5000	0	768.0000	571.5000	0	583.5000	982.5000	0	453.0000	937.5000	0	1279.5000	925.5000	0	664.5000	1029.0000	0	1377.0000	1051.5000	0	381.0000	316.5000	0	1342.5854	1062.4426	0	85.1113	960.0981	0			
26	1312.5000	198.0000	0	843.0000	97.5000	0	939.0000	922.5000	0	723.0000	969.0000	0	1215.0000	994.5000	0	378.0000	1000.5000	0	652.5000	913.5000	0	1390.5000	748.5000	0	768.0000	571.5000	0	583.5000	982.5000	0	454.5000	937.5000	0	1279.5000	925.5000	0	666.0000	1027.5000	0	1377.0000	1051.5000	0	381.0000	315.0000	0	1343.5373	1062.9935	0						
27	1311.0000	198.0000	0	843.0000	97.5000	0	939.0000	921.0000	0	721.5000	969.0000	0	1215.0000	994.5000	0	376.5000	1000.5000	0	651.0000	913.5000	0	1386.0000	750.0000	0	768.0000	571.5000	0	582.0000	984.0000	0	453.0000	936.0000	0	1279.5000	924.0000	0	664.5000	1029.0000	0	1377.0000	1051.5000	0	381.0000	315.0000	0	1344.1531	1063.4694	0						
28	1311.0000	199.5000	0	843.0000	99.0000	0	937.5000	921.0000	0	720.0000	969.0000	0	1216.5000	993.0000	0	376.5000	1002.0000	0	649.5000	913.5000	0	1384.5000	753.0000	0	768.0000	571.5000	0	583.5000	982.5000	0	453.0000	936.0000	0	1279.5000	925.5000	0	664.5000	1027.5000	0	1377.0000	1051.5000	0	381.0000	315.0000	0									
29	1311.0000	199.5000	0	843.0000	97.5000	0	937.5000	921.0000	0	720.0000	970.5000	0	1216.5000	993.0000	0	378.0000	1000.5000	0	651.0000	913.5000	0	1377.0000	760.5000	0	766.5000	571.5000	0	582.0000	984.0000	0	453.0000	937.5000	0	1279.5000	925.5000	0	666.0000	1027.5000	0	1377.2965	1042.3048	0	379.5000	316.5000	0									
30	1309.5000	199.5000	0	841.5000	99.0000	0	937.5000	921.0000	0	720.0000	969.0000	0	1216.5000	993.0000	0	378.0000	1000.5000	0	651.0000	913.5000	0	1372.5000	765.0000	0	765.0000	573.0000	0	583.5000	982.5000	0	451.5000	936.0000	0	1278.0000	925.5000	0	664.5000	1027.5000	0	1380.8142	1042.3325	0	379.5000	316.5000	0									
31	1309.5000	201.0000	0	843.0000	99.0000	0	939.0000	922.5000	0	720.0000	970.5000	0	1215.7500	993.0000	0	376.5000	1002.0000	0	652.5000	913.5000	0	1371.0000	768.0000	0	765.0000	573.0000	0	583.5000	982.5000	0	451.5000	936.0000	0	1279.5000	924.0000	0	664.5000	1027.5000	0	1378.5000	1051.5000	0	378.0000	316.5000	0									
32	1308.0000	202.5000	0	841.5000	99.0000	0	939.0000	922.5000	0	720.0000	970.5000	0	1215.0000	994.5000	0	376.5000	1002.0000	0	652.5000	912.0000	0	1369.5000	771.0000	0	763.5000	573.0000	0	583.5000	982.5000	0	453.0000	936.0000	0	1279.5000	924.0000	0	664.5000	1027.5000	0	1378.5000	1050.0000	0	379.5000	315.0000	0									
33	1308.0000	202.5000	0	841.5000	99.0000	0	939.0000	922.5000	0	718.5000	972.0000	0	1216.5000	993.0000	0	376.5000	1000.5000	0	652.5000	912.0000	0	1368.0000	772.5000	0	763.5000	573.0000	0	583.5000	982.5000	0	453.0000	934.5000	0	1279.5000	924.0000	0	664.5000	1027.5000	0	1377.0000	1050.0000	0	378.0000	315.0000	0									
34	1308.0000	204.0000	0	841.5000	99.0000	0	937.5000	921.0000	0	718.5000	972.0000	0	1215.0000	993.0000	0	376.5000	1000.5000	0	652.5000	912.0000	0	1366.5000	774.0000	0	763.5000	571.5000	0	583.5000	984.0000	0	453.0000	936.0000	0	1279.5000	925.5000	0	664.5000	1027.5000	0	1377.0000	1051.5000	0	378.0000	315.0000	0									
35	1309.5000	204.0000	0	841.5000	99.0000	0	937.5000	921.0000	0	718.5000	972.0000	0	1215.0000	994.5000	0	376.5000	1002.0000	0	652.5000	913.5000	0	1365.0000	774.0000	0	763.5000	570.0000	0	583.5000	982.5000	0	453.0000	934.5000	0	1279.5000	925.5000	0	664.5000	1026.0000	0	1377.0000	1053.0000	0	379.5000	315.0000	0									
36	1309.5000	204.0000	0	843.0000	97.5000	0	939.0000	922.5000	0	717.0000	973.5000	0	1215.0000	994.5000	0	378.0000	1002.0000	0	652.5000	913.5000	0	1366.5000	774.0000	0	762.0000	570.0000	0	582.0000	984.0000	0	453.0000	934.5000	0	1282.5000	925.5000	0	664.5000	1027.5000	0	1375.5000	1051.5000	0	379.5000	315.0000	0									
37	1309.5000	207.0000	0	843.0000	97.5000	0	937.5000	922.5000	0	717.0000	973.5000	0	1215.0000	994.5000	0	378.0000	1002.0000	0	651.0000	913.5000	0	1366.5000	774.0000	0	762.0000	570.0000	0	583.5000	984.0000	0	453.0000	937.5000	0	1281.0000	925.5000	0	664.5000	1029.0000	0	1377.0000	1051.5000	0	379.5000	315.0000	0									
38	1309.5000	205.5000	0	843.0000	97.5000	0	937.5000	924.0000	0	717.0000	973.5000	0	1216.5000	993.0000	0	378.0000	1000.5000	0	649.5000	915.0000	0	1365.0000	775.5000	0	763.5000	570.0000	0	583.5000	982.5000	0	453.0000	939.0000	0	1281.0000	925.5000	0	664.5000	1026.0000	0	1377.0000	1051.5000	0	378.0000	316.5000	0									
39	1309.5000	207.0000	0	843.0000	97.5000	0	936.0000	924.0000	0	717.0000	975.0000	0	1216.5000	993.0000	0	376.5000	1002.0000	0	648.0000	916.5000	0	1362.0000	775.5000	0	762.0000	570.0000	0	583.5000	982.5000	0	451.5000	939.0000	0	1279.5000	925.5000	0	664.5000	1026.0000	0	1377.0000	1051.5000	0												
40	1311.0000	207.0000	0	843.0000	99.0000	0	936.0000	924.0000	0	717.0000	975.0000	0	1216.5000	993.0000	0	378.0000	1000.5000	0	649.5000	918.0000	0	1362.0000	777.0000	0	762.0000	570.0000	0	583.5000	982.5000	0	451.5000	940.5000	0	1279.5000	925.5000	0	664.5000	1027.5000	0	1377.0000	1051.5000	0												
41	1311.0000	208.5000	0	843.0000	99.0000	0	936.0000	924.0000	0	717.0000	975.0000	0	1216.5000	993.0000	0	378.0000	1002.0000	0	651.0000	916.5000	0	1363.5000	777.0000	0	762.0000	570.0000	0	583.5000	982.5000	0	450.0000	940.5000	0	1281.0000	925.5000	0	664.5000	1027.5000	0	1372.6829	1043.0158	0												
42	1311.0000	208.5000	0	844.5000	99.0000	0	934.5000	924.0000	0	718.5000	975.0000	0	1215.0000	994.5000	0	378.0000	1000.5000	0	649.5000	916.5000	0	1365.0000	777.0000	0	762.0000	568.5000	0	583.5000	984.0000	0	450.0000	940.5000	0	1279.5000	925.5000	0	661.5000	1027.5000	0	1377.0000	1051.5000	0												
43	1312.5000	208.5000	0	844.5000	99.0000	0	934.5000	924.0000	0	717.0000	976.5000	0	1216.5000	993.0000	0	376.5000	1000.5000	0	651.0000	918.0000	0	1365.0000	778.5000	0	762.0000	568.5000	0	583.5000	982.5000	0	448.5000	940.5000	0	1281.0000	927.0000	0	664.5000	1027.5000	0	1377.0000	1051.5000	0												
44	1311.0000	208.5000	0	843.0000	99.0000	0	934.5000	924.0000	0	717.0000	976.5000	0	1215.0000	994.5000	0	376.5000	1000.5000	0	649.5000	919.5000	0	1365.0000	777.0000	0	763.5000	568.5000	0	583.5000	982.5000	0	447.0000	940.5000	0	1281.0000	928.5000	0	664.5000	1027.5000	0	1371.1144	1043.6202	0												
45	1311.0000	208.5000	0	844.5000	99.0000	0	934.5000	922.5000	0	717.0000	976.5000	0	1215.0000	994.5000	0	376.5000	1002.0000	0	649.5000	919.5000	0	1365.0000	775.5000	0	763.5000	568.5000	0	582.0000	984.0000	0	444.0000	942.0000	0	1282.5000	928.5000	0	664.5000	1027.5000	0	1377.0000	1051.5000	0												
46	1311.0000	208.5000	0	844.5000	99.0000	0	934.5000	922.5000	0	717.0000	976.5000	0	1215.0000	994.5000	0	378.0000	1000.5000	0	649.5000	919.5000	0	1363.5000	774.0000	0	763.5000	567.0000	0	582.0000	984.0000	0	445.5000	942.0000	0	1282.5000	928.5000	0	664.5000	1027.5000	0															
47	1311.0000	208.5000	0	844.5000	100.5000	0	936.0000	922.5000	0	717.0000	976.5000	0	1216.5000	993.0000	0	378.0000	1000.5000	0	649.5000	919.5000	0	1362.0000	774.0000	0	762.0000	567.0000	0	582.0000	984.0000	0	445.5000	943.5000	0	1281.0000	930.0000	0	664.5000	1029.0000	0															
48	1309.5000	208.5000	0	844.5000	100.5000	0	934.5000	924.0000	0	715.5000	976.5000	0	1216.5000	993.0000	0	378.0000	1002.0000	0	649.5000	921.0000	0	1362.0000	775.5000	0	762.0000	568.5000	0	583.5000	982.5000	0	444.0000	943.5000	0	1281.0000	930.0000	0	664.5000	1027.5000	0															
49	1308.0000	210.0000	0	844.5000	100.5000	0	933.0000	924.0000	0	715.5000	978.0000	0	1215.0000	994.5000	0	376.5000	1000.5000	0	648.0000	921.0000	0	1360.5000	777.0000	0	760.5000	568.5000	0	583.5000	982.5000	0	444.0000	943.5000	0	1281.0000	930.0000	0	664.5000	1027.5000	0															
50	1309.5000	208.5000	0	844.5000	102.0000	0	933.0000	924.0000	0	714.0000	976.5000	0	1215.0000	994.5000	0	378.0000	1000.5000	0	648.0000	921.0000	0	1360.5000	777.0000	0	760.5000	570.0000	0	583.5000	982.5000	0	444.0000	942.0000	0	1279.5000	930.0000	0	664.5000	1029.0000	0															
51	1309.5000	210.0000	0	843.0000	103.5000	0	933.0000	924.0000	0	714.0000	976.5000	0	1216.5000	993.0000	0	378.0000	1002.0000	0	648.0000	921.0000	0	1360.5000	775.5000	0	760.5000	570.0000	0	583.5000	984.0000	0	442.5000	942.0000	0	1278.0000	931.5000	0	664.5000	1027.5000	0															
52	1309.5000	210.0000	0	843.0000	103.5000	0	931.5000	924.0000	0	714.0000	976.5000	0	1216.5000	993.0000	0	378.0000	1000.5000	0	648.0000	922.5000	0	1360.5000	775.5000	0	762.0000	571.5000	0	583.5000	982.5000	0	442.5000	943.5000	0	1278.0000	931.5000	0	664.5000	1027.5000	0															
53	1311.0000	210.0000	0	841.5000	105.0000	0	931.5000	925.5000	0	714.0000	976.5000	0	1215.0000	994.5000	0	378.0000	1000.5000	0	649.5000	922.5000	0	1360.5000	774.0000	0	762.0000	571.5000	0	582.0000	984.0000	0	442.5000	943.5000	0	1278.0000	931.5000	0	664.5000	1027.5000	0															
54	1311.0000	210.0000	0	841.5000	106.5000	0	931.5000	925.5000	0	712.5000	976.5000	0	1215.0000	994.5000	0	378.0000	1002.0000	0	649.5000	922.5000	0	1360.5000	775.5000	0	762.0000	571.5000	0	582.0000	984.0000	0	442.5000	943.5000	0	1279.5000	931.5000	0	664.5000	1027.5000	0															
55	1309.5000	210.0000	0	841.5000	106.5000	0	931.5000	927.0000	0	712.5000	976.5000	0	1215.0000	994.5000	0	376.5000	1000.5000	0	648.0000	922.5000	0	1360.5000	774.0000	0	762.0000	573.0000	0	580.5000	984.0000	0	444.0000	943.5000	0	1278.0000	931.5000	0	664.5000	1027.5000	0															
56	1309.5000	210.0000	0	840.0000	108.0000	0	931.5000	927.0000	0	712.5000	976.5000	0	1216.5000	993.0000	0	376.5000	1000.5000	0	648.0000	922.5000	0	1362.0000	772.5000	0	760.5000	573.0000	0	583.5000	982.5000	0	442.5000	943.5000	0	1278.0000	933.0000	0	664.5000	1027.5000	0															
57	1309.5000	210.0000	0	838.5000	106.5000	0	931.5000	930.0000	0	712.5000	976.5000	0	1215.0000	994.5000	0	378.0000	1000.5000	0	648.0000	921.0000	0	1362.0000	774.0000	0	760.5000	573.0000	0	583.5000	984.0000	0	441.0000	943.5000	0	1276.5000	933.0000	0	664.5000	1027.5000	0															
58	1308.0000	211.5000	0	837.0000	108.0000	0	931.5000	930.0000	0	711.0000	978.0000	0	1216.5000	994.5000	0	376.5000	1000.5000	0	646.5000	922.5000	0	1360.5000	774.0000	0	760.5000	571.5000	0	583.5000	982.5000	0	439.5000	945.0000	0	1275.0000	933.0000	0	664.5000	1027.5000	0															
59	1306.5000	211.5000	0	835.5000	109.5000	0	930.0000	930.0000	0	709.5000	979.5000	0	1216.5000	993.0000	0	378.0000	1002.0000	0	645.0000	924.0000	0	1360.5000	772.5000	0	760.5000	570.0000	0	583.5000	982.5000	0	438.0000	945.0000	0	1273.5000	936.0000	0	664.5000	1027.5000	0															
60	1306.5000	213.0000	0	834.0000	111.0000	0	930.0000	931.5000	0	709.5000	979.5000	0	1215.0000	993.0000	0	378.0000	1002.0000	0	645.0000	924.0000	0	1360.5000	772.5000	0	760.5000	571.5000	0	583.5000	982.5000	0	438.0000	946.5000	0	1273.5000	937.5000	0	644.0353	1027.5286	0															
61	1305.0000	214.5000	0	832.5000	112.5000	0	928.5000	931.5000	0	709.5000	979.5000	0	1215.0000	993.0000	0	376.5000	1002.0000	0	642.0000	925.5000	0	1360.5000	774.0000	0	760.5000	570.0000	0	583.5000	982.5000	0	436.5000	948.0000	0	1273.5000	937.5000	0	644.0588	1027.5147	0															
