Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23	X24	Y24	Flag24	X25	Y25	Flag25	X26	Y26	Flag26	X27	Y27	Flag27	X28	Y28	Flag28	X29	Y29	Flag29	X30	Y30	Flag30	X31	Y31	Flag31	X32	Y32	Flag32	X33	Y33	Flag33	X34	Y34	Flag34	X35	Y35	Flag35	X36	Y36	Flag36	X37	Y37	Flag37	X38	Y38	Flag38	X39	Y39	Flag39
Tracks 1 to 39
26	199.88095	474.35715	*	523.76086	129.80435	*	1215.5834	3.4583333	*	43.46	465.1	*	176.25	295.2	*	172.45	266.65	*	968.55554	869.55554	*	1409.46	230.42	*	1402.2142	1078.119	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27	200.60527	473.76315	*	523.5	136.8793	*	1381.2142	44.5	*	40.1	463.33334	*	171.76666	266.63333	*	45.6875	169.3125	*	657.9375	560.1875	*	1405.3096	253.59525	*	1401.5952	1077.9286	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
28	297.14285	437.67856	*	531.9	142.93333	*	1213.82	4.7	*	39.346153	463.76923	*	172.38889	267.16666	*	2.2368422	434.6579	*	390.20834	735.3333	*	1408.05	251.45	*	1401.8334	1077.6482	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
29	197.65384	477.0	*	532.75	143.05	*	1106.25	22.375	*	37.035713	464.25	*	172.5625	266.125	*	55.7	751.5	*	403.33334	672.0	*	1412.8334	230.86667	*	1401.7693	1077.7307	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30	38.27778	463.46295	*	514.75	131.875	*	1054.3	2.1	*	1.6052631	416.9737	*	173.1	266.94	*	84.02941	953.6177	*	47.766666	962.3	*	1411.9	231.2	*	792.6111	281.1111	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31	42.17857	463.82144	*	501.35715	143.64285	*	1213.9117	5.2647057	*	9.911765	425.14706	*	176.06	295.02	*	133.1875	836.75	*	52.5	746.1	*	1380.5667	45.433334	*	809.6111	270.22223	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
32	43.46154	465.53845	*	506.07144	135.2619	*	1076.45	3.45	*	6.86	434.78	*	162.55882	301.02942	*	66.875	764.5625	*	47.72222	963.0	*	826.25	234.125	*	818.23334	264.5	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
33	42.692307	464.69232	*	507.32352	132.61765	*	1077.5667	3.0333333	*	4.2222223	420.94446	*	194.23914	478.67392	*	57.75	766.6875	*	345.23685	565.3947	*	824.7381	233.11905	*	824.36957	253.97826	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	43.907406	466.24075	*	656.7	315.94	*	1076.0333	2.5666666	*	6.948276	435.39655	*	295.0	416.8125	*	131.16667	832.1667	*	405.1154	673.88464	*	1021.5	269.5	*	1323.5526	40.07895	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
35	42.66	467.34	*	520.63336	129.63333	*	1077.4	3.6333334	*	191.5	480.2	*	345.02942	562.3823	*	220.22223	808.1111	*	83.02941	954.2647	*	1016.0	177.5	*	874.3947	402.07895	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	45.55	469.4	*	512.1	132.23334	*	1199.4524	1.3571428	*	221.86	807.78	*	82.5	952.6818	*	69.382355	981.9706	*	1043.3214	1034.4642	*	1017.3333	179.43333	*	873.8461	402.5	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
37	44.717392	468.58694	*	819.6667	229.94444	*	1224.4412	8.794118	*	60.18	754.26	*	55.714287	749.6071	*	73.71739	612.7174	*	871.8182	403.36365	*	1209.98	44.58	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	45.833332	467.625	*	873.1087	403.28262	*	1224.3125	6.8125	*	49.909092	970.9545	*	186.33333	472.33334	*	434.5	419.38235	*	443.25	428.4	*	1200.1	1.45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
39	3.6875	434.0	*	873.7143	402.32144	*	1370.8529	43.088234	*	67.833336	982.7381	*	184.25862	472.77585	*	646.3	175.36667	*	793.5	279.77777	*	1394.2333	1078.0	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
