Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17
Tracks 1 to 17
48	1266.5	0.5	*	19.03212	168.20181	*	97.32574	177.82822	*	339.92007	220.67984	*	277.44788	284.98395	*	883.82715	412.7073	*	1138.2949	455.9247	*	390.52533	513.801	*	1247.6411	532.477	*	640.3244	594.3684	*	510.9065	685.2262	*	1285.2416	715.60944	*	425.30655	721.24414	*	602.11505	840.76355	*	707.9946	923.8932	*	 	 	 	 	 	 
49	1138.3263	455.37314	*	18.737453	168.61656	*	96.30253	177.50136	*	340.57455	220.6575	*	277.42758	284.7075	*	883.9258	412.9027	*	1246.6549	532.4646	*	390.57474	514.14734	*	1286.1135	715.2356	*	640.90967	594.93353	*	511.2214	685.21765	*	709.1947	924.13995	*	425.96576	720.9389	*	601.51886	841.10114	*	 	 	 	 	 	 	 	 	 
50	1137.4762	455.48358	*	19.240074	168.37401	*	96.660736	177.07632	*	340.55695	220.74463	*	277.39178	284.94867	*	883.36566	413.55936	*	1247.0411	532.5	*	389.8013	513.67896	*	1285.3729	715.2904	*	640.5221	595.21576	*	510.864	684.473	*	708.90625	924.32544	*	426.4489	720.5358	*	601.26953	841.254	*	 	 	 	 	 	 	 	 	 
51	1137.1221	455.59457	*	19.40529	168.0746	*	97.44955	177.27658	*	340.31488	221.20465	*	277.29178	285.11533	*	883.51733	413.86215	*	1247.607	532.7747	*	389.99905	513.87665	*	1285.4427	716.0797	*	640.33026	594.8973	*	510.8741	684.9579	*	709.1439	924.3907	*	426.30933	720.8719	*	601.0519	840.717	*	 	 	 	 	 	 	 	 	 
52	1136.9613	455.33795	*	19.67077	167.74097	*	97.50362	177.5971	*	340.88165	221.49022	*	277.35123	285.32462	*	882.78784	414.00333	*	1246.8247	534.149	*	390.6129	513.26044	*	1285.7009	716.08997	*	639.696	595.3551	*	511.72073	684.8621	*	709.8774	924.25214	*	427.3836	722.4463	*	601.1248	840.8072	*	 	 	 	1270.4231	0.65384614	 	 	 	 
53	1136.2048	455.34387	*	19.512585	167.5257	*	97.50631	177.75766	*	340.9497	221.77654	*	277.37335	285.33786	*	881.5901	414.33517	*	1245.3489	534.7635	*	390.79352	512.463	*	1285.906	716.8488	*	639.2824	595.06824	*	511.64145	684.2008	*	710.1274	923.566	*	426.58432	722.6013	*	600.9457	841.0872	*	 	 	 	1268.9231	0.9230769	 	 	 	 
54	1136.9844	454.5387	*	19.557682	167.75957	*	97.329796	177.40294	*	342.22626	221.23463	*	277.42648	284.896	*	882.2706	413.71576	*	1245.9164	534.51245	*	390.7115	511.82556	*	1286.1786	717.3618	*	639.80597	594.42267	*	512.2643	684.1509	*	710.69495	922.83234	*	426.55017	722.3858	*	601.2182	840.96796	*	 	 	 	1270.0714	0.8333333	 	 	 	 
55	1136.6228	454.09872	*	19.166843	167.60963	*	96.672676	176.61362	*	342.05402	221.1392	*	277.49673	284.80676	*	882.04047	413.58493	*	1245.924	534.37463	*	390.90945	512.89764	*	1284.6401	717.5674	*	638.8255	594.39716	*	512.49023	684.2805	*	710.68774	922.43713	*	427.0038	722.8616	*	600.3673	841.48303	*	 	 	 	1269.6852	0.8703704	 	 	 	 
56	1137.5963	454.52835	*	19.217936	167.79697	*	97.2	176.74706	*	342.1142	221.29729	*	277.43594	284.70798	*	882.4495	413.20102	*	1246.6251	534.5156	*	390.57773	512.5844	*	1285.4502	717.873	*	638.9671	595.2612	*	512.3273	684.4735	*	711.84204	922.699	*	427.1256	723.7566	*	600.85016	841.8724	*	 	 	 	1269.18	0.86	 	 	 	 
57	1138.0688	454.64374	*	18.939116	168.37338	*	96.93708	176.47339	*	342.21814	221.91158	*	277.38162	284.96378	*	882.05383	414.04428	*	1246.9159	535.21094	*	391.50287	513.9068	*	1285.4702	717.8936	*	639.03217	596.62573	*	512.4191	684.5558	*	712.67395	923.4692	*	427.27237	724.3039	*	601.34766	841.89954	*	 	 	 	1270.4762	1.2142857	 	 	 	 
58	1137.7428	454.61978	*	18.527323	169.54755	*	96.38768	176.86414	*	342.06204	221.9333	*	277.3173	285.42758	*	881.96313	414.47977	*	1246.9912	535.4339	*	391.78906	514.37335	*	1285.0099	718.5694	*	637.3134	597.0	*	512.2054	685.03436	*	712.5233	924.2447	*	426.64337	724.2531	*	600.5978	842.8714	*	 	 	 	1269.86	1.74	 	 	 	 
59	1138.001	454.2355	*	18.449423	169.50659	*	96.25965	176.82349	*	342.15134	221.81474	*	277.30457	285.4302	*	882.1523	414.9744	*	1247.5995	535.35876	*	391.86203	514.4388	*	1285.327	719.6074	*	637.023	597.28937	*	512.53064	684.4559	*	712.42065	924.9901	*	426.76663	723.81934	*	600.8074	842.4703	*	 	 	 	1270.5461	1.5461539	 	 	 	 
60	1137.8335	454.52737	*	18.059664	169.27142	*	95.95368	176.5604	*	341.3283	221.49165	*	277.45343	285.07568	*	882.66614	415.10272	*	1247.2559	535.4295	*	392.61774	514.88226	*	1285.098	719.695	*	637.11206	596.81	*	512.64026	683.6991	*	711.6897	924.09033	*	427.3015	724.52814	*	601.1414	842.7508	*	 	 	 	1270.1666	1.2708334	 	 	 	 
