Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X6	Y6	Flag6	X5	Y5	Flag5
47	897.0000	846.0000	0	1024.5000	189.0000	0	763.5000	520.5000	0	801.0000	66.0000	0	180.0000	480.0000	0	1099.5000	255.0000	0	484.5000	76.5000	0	1029.0000	883.5000	0	810.0000	892.5000	0	573.0000	495.0000	0	576.0000	436.5000	0
48	898.5000	846.0000	0	1029.0000	187.5000	0	763.5000	519.0000	0	804.0000	63.0000	0	181.5000	478.5000	0	1099.5000	256.5000	0	483.0000	73.5000	0	1027.5000	885.0000	0	816.0000	892.5000	0	571.5000	493.5000	0	576.0000	430.5000	0
49	897.0000	846.0000	0	1026.0000	189.0000	0	766.5000	520.5000	0	805.5000	63.0000	0	180.0000	480.0000	0	1102.5000	255.0000	0	478.5000	72.0000	0	1024.5000	882.0000	0	814.5000	894.0000	0	576.0000	495.0000	0	580.5000	432.0000	0
50	895.5000	847.5000	0	1027.5000	187.5000	0	765.0000	517.5000	0	811.5000	63.0000	0	178.5000	477.0000	0	1101.0000	253.5000	0	478.5000	75.0000	0	1024.5000	883.5000	0	814.5000	897.0000	0	574.5000	496.5000	0	579.0000	427.5000	0
51	894.0000	849.0000	0	1023.0000	186.0000	0	768.0000	516.0000	0	811.5000	66.0000	0	178.5000	478.5000	0	1099.5000	250.5000	0	475.5000	75.0000	0	1023.0000	882.0000	0	816.0000	897.0000	0	570.0000	498.0000	0	580.5000	429.0000	0
52	897.0000	850.5000	0	1023.0000	183.0000	0	765.0000	516.0000	0	813.0000	69.0000	0	178.5000	481.5000	0	1098.0000	255.0000	0	475.5000	75.0000	0	1024.5000	883.5000	0	813.0000	900.0000	0	571.5000	496.5000	0	585.0000	430.5000	0
53	895.5000	849.0000	0	1024.5000	187.5000	0	763.5000	513.0000	0	813.0000	67.5000	0	171.0000	481.5000	0	1093.5000	255.0000	0	474.0000	75.0000	0	1023.0000	882.0000	0	811.5000	900.0000	0	570.0000	496.5000	0	585.0000	427.5000	0
54	898.5000	850.5000	0	1020.0000	183.0000	0	766.5000	513.0000	0	813.0000	66.0000	0	169.5000	480.0000	0	1095.0000	256.5000	0	477.0000	75.0000	0	1017.0000	877.5000	0	811.5000	898.5000	0	571.5000	496.5000	0	586.5000	430.5000	0
55	900.0000	853.5000	0	1017.0000	183.0000	0	768.0000	517.5000	0	817.5000	66.0000	0	172.5000	478.5000	0	1096.5000	261.0000	0	475.5000	78.0000	0	1015.5000	876.0000	0	811.5000	897.0000	0	573.0000	492.0000	0	585.0000	433.5000	0
56	900.0000	853.5000	0	1017.0000	183.0000	0	763.5000	514.5000	0	817.5000	63.0000	0	171.0000	478.5000	0	1098.0000	258.0000	0	475.5000	78.0000	0	1015.5000	874.5000	0	807.0000	895.5000	0	573.0000	490.5000	0	582.0000	430.5000	0
