Distance_(_),Gray_Value
784,16.833
785,17.000
786,16.833
787,16.667
788,16.833
789,17.000
790,17.333
791,18.000
792,18.500
793,19.167
794,18.667
795,18.333
796,18.667
797,18.667
798,18.333
799,18.333
800,20.333
801,24.333
802,29.167
803,35.500
804,45.500
805,60.333
806,79.000
807,101.167
808,123.667
809,138.833
810,147.500
811,150.667
812,151.000
813,151.333
814,150.333
815,149.833
816,150.833
817,153.333
818,156.500
819,157.000
820,158.167
821,158.667
822,158.500
823,158.333
824,157.333
825,158.333
826,159.000
827,159.000
828,158.500
829,157.333
830,157.500
831,157.500
832,158.833
833,159.000
834,159.333
835,159.833
836,159.500
837,158.667
838,158.667
839,158.667
840,159.000
841,157.833
842,158.667
843,158.167
844,158.167
845,158.833
846,159.667
847,159.167
848,157.500
849,158.167
850,159.000
851,158.667
852,157.500
853,155.833
854,156.667
855,157.667
856,157.833
857,157.667
858,157.333
859,158.000
860,157.500
861,157.500
862,158.167
863,157.167
864,156.833
865,156.833
866,157.333
867,157.000
868,157.167
869,155.833
870,155.333
871,153.667
872,152.833
873,152.833
874,154.333
875,155.167
876,154.833
877,148.000
878,135.833
879,115.500
880,92.000
881,70.667
882,52.000
883,39.833
884,31.333
885,24.167
886,19.833
887,18.167
888,18.333
889,18.667
890,18.167
891,17.333
892,16.333
893,16.000
894,15.333
895,14.833
896,14.500
897,14.667
898,13.500
899,13.000
900,12.833
901,13.000
902,13.333
903,13.000
904,13.833
905,14.000
906,13.833
907,13.500
908,13.333
909,13.167
910,13.667
911,13.833
912,14.000
913,14.167
914,14.167
915,13.667
916,13.667
917,13.167
918,13.000
919,13.833
920,13.500
921,13.500
922,14.000
923,13.333
924,13.667
925,14.333
926,14.333
927,14.000
928,13.667
929,13.500
930,13.667
931,13.833
932,14.167
933,14.667
934,14.500
935,14.667
936,15.333
937,15.833
938,16.167
939,16.500
940,16.667
941,16.167
942,15.833
943,15.167
944,15.333
945,17.333
946,20.167
947,25.167
948,32.667
949,45.167
950,63.167
951,84.667
952,107.667
953,125.500
954,137.000
955,144.167
956,146.833
957,147.167
958,146.500
959,146.833
960,148.667
961,150.500
962,153.833
963,156.667
964,157.833
965,157.167
966,156.833
967,156.167
968,156.333
969,156.333
970,156.167
971,156.000
972,156.500
973,156.833
974,157.167
975,157.500
976,157.333
977,157.833
978,157.500
979,157.333
980,157.833
981,157.333
982,156.833
983,156.500
984,157.000
985,158.000
986,157.667
987,157.333
988,158.333
989,159.000
990,158.000
991,157.167
992,156.500
993,156.833
994,158.000
995,158.333
996,158.333
997,159.000
998,159.000
999,158.000
1000,157.833
1001,158.833
1002,158.000
1003,156.833
1004,156.667
1005,156.333
1006,155.833
1007,156.000
1008,155.833
1009,155.333
1010,155.333
1011,156.000
1012,156.000
1013,154.833
1014,153.667
1015,152.500
1016,150.500
1017,149.667
1018,150.000
1019,151.000
1020,152.667
1021,153.667
1022,151.667
1023,143.833
1024,129.000
1025,109.000
1026,84.833
1027,63.333
1028,47.167
1029,35.333
1030,26.833
1031,21.333
1032,18.167
1033,16.833
1034,16.000
1035,15.833
1036,15.333
1037,15.333
1038,14.667
1039,14.167
1040,13.667
1041,13.500
1042,12.833
1043,12.500
1044,12.333
1045,12.333
1046,12.833
1047,13.000
1048,12.667
1049,12.167
1050,12.167
1051,12.500
1052,12.167
1053,12.000
1054,12.167
1055,12.167
1056,12.333
1057,12.167
1058,12.000
1059,12.333
1060,12.000
1061,11.833
1062,12.000
1063,12.833
1064,12.667
1065,12.667
1066,12.833
1067,12.333
1068,12.000
1069,12.000
1070,12.000
1071,12.167
1072,12.333
1073,12.167
1074,12.333
1075,12.500
1076,12.333
1077,12.167
1078,12.167
1079,12.167
1080,12.167
1081,12.667
1082,13.333
1083,14.000
1084,14.500
1085,14.500
1086,14.667
1087,14.167
1088,13.667
1089,13.667
1090,15.333
1091,17.833
1092,22.000
1093,27.667
1094,37.333
1095,51.000
1096,71.333
1097,95.167
1098,115.667
1099,131.667
1100,139.667
1101,143.167
1102,145.000
1103,144.667
1104,145.500
1105,148.000
1106,152.167
1107,154.833
1108,156.667
1109,157.833
1110,158.833
1111,158.333
1112,157.333
1113,157.333
1114,157.667
1115,156.000
1116,154.833
1117,155.667
1118,156.500
1119,157.333
1120,156.500
1121,157.500
1122,157.833
1123,156.833
1124,155.333
1125,155.333
1126,154.500
1127,155.000
1128,155.500
1129,156.500
1130,157.333
1131,157.833
1132,158.667
1133,158.333
1134,157.000
1135,157.667
1136,157.667
1137,157.833
1138,157.167
1139,156.833
1140,157.500
1141,157.833
1142,157.167
1143,157.500
1144,157.500
1145,158.333
1146,157.667
1147,158.000
1148,158.667
1149,159.333
1150,159.667
1151,158.833
1152,157.333
1153,156.833
1154,156.167
1155,156.500
1156,156.833
1157,156.833
1158,157.167
1159,155.500
1160,152.833
1161,152.500
1162,152.333
1163,150.167
1164,148.833
1165,150.000
1166,152.167
1167,154.000
1168,150.500
1169,142.333
