Frame	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X10	Y10	Flag10	X13	Y13	Flag13	X14	Y14	Flag14	X17	Y17	Flag17	X18	Y18	Flag18	X2	Y2	Flag2	X9	Y9	Flag9	X12	Y12	Flag12	X16	Y16	Flag16	X20	Y20	Flag20	X21	Y21	Flag21	X1	Y1	Flag1	X8	Y8	Flag8	X11	Y11	Flag11	X15	Y15	Flag15	X19	Y19	Flag19
23	21.0889	164.8381	0	100.7158	178.8009	0	337.1788	221.3385	0	277.4856	284.9468	0	877.2637	416.1186	0	390.3219	510.1870	0	641.1809	592.5466	0	510.0266	685.1843	0	429.4761	720.5690	0	606.1624	840.0236	0	1140.3207	455.0389	0	1248.1517	538.8813	0	1286.1099	721.2276	0	711.4326	927.2581	0	1272.2875	1.7375	0	1264.9122	2.1579	0	1265.5510	2.0204	0	1135.7374	454.6659	0	1243.5424	532.9735	0	1285.1143	719.0216	0	706.8044	923.3936	0
24	20.5912	165.4007	0	100.3152	178.9112	0	336.5635	221.4341	0	277.4189	284.8728	0	877.6085	416.6291	0	390.4919	509.6611	0	640.7764	592.5048	0	509.4755	685.0113	0	429.2818	719.5814	0	606.1976	839.8556	0	1140.2898	455.5273	0	1248.6979	539.0023	0	1285.7701	721.6681	0	711.2407	927.8439	0	1271.4395	1.5758	0	1266.0847	2.2712	0	1265.3727	2.0909	0	1136.0542	454.3609	0	1243.2756	532.4083	0	1285.2689	719.4454	0	706.7328	923.2423	0
25	20.4426	165.9685	0	100.1000	179.1784	0	335.7902	221.3608	0	277.4781	285.0147	0	877.7668	416.2251	0	390.7072	510.3710	0	640.9841	591.9082	0	509.9298	684.8961	0	429.8684	719.2346	0	607.3564	839.4868	0	1139.9860	455.7531	0	1247.9524	538.7321	0	1284.9098	722.3705	0	710.5480	927.7344	0	1271.5728	1.3545	0	1264.9810	2.4160	0	1265.6083	2.3250	0	1136.1581	454.7545	0	1242.9757	532.9424	0	1285.3875	719.7349	0	707.6279	923.2056	0
26	19.9501	167.1034	0	99.5751	180.1621	0	336.4038	221.5319	0	277.4413	285.1032	0	877.4850	415.2183	0	390.7032	511.0244	0	640.6854	592.5126	0	510.3273	685.6948	0	429.6556	719.2078	0	607.2833	839.7327	0	1140.1250	456.3183	0	1248.0825	538.7454	0	1284.7914	722.4693	0	711.2383	927.2413	0	1271.6731	1.3462	0	1266.0461	2.4385	0	1265.3165	2.1239	0	1136.0616	454.7721	0	1243.3463	533.5400	0	1285.0093	719.4833	0	708.2502	923.6788	0
27	19.9892	167.4541	0	99.5740	180.3442	0	336.8768	220.9976	0	277.4459	284.9958	0	877.6589	415.0107	0	390.7577	510.9483	0	641.2434	591.9098	0	511.3152	685.7629	0	430.3873	718.6708	0	608.1368	840.0530	0	1140.2039	456.5830	0	1247.5437	539.3075	0	1284.3550	722.4838	0	710.9260	926.5914	0	1272.5667	1.3000	0	1266.5074	2.4704	0	1266.0145	2.0631	0	1136.1571	454.9877	0	1243.9277	534.5129	0	1285.5785	719.0510	0	708.8503	923.3819	0
28	19.2778	167.7538	0	99.2371	181.0354	0	337.2285	221.1909	0	277.3988	285.1091	0	877.5488	415.2789	0	389.9871	510.9132	0	641.2549	591.8174	0	511.9866	685.7034	0	430.8127	718.9059	0	607.2225	840.4561	0	1140.7341	456.4037	0	1248.4286	539.4973	0	1284.5236	722.9921	0	711.0820	925.9506	0	1273.1000	1.2556	0	1266.6190	2.3254	0	1266.2646	2.0490	0	1135.6217	455.9848	0	1243.2240	534.4499	0	1285.3320	719.0867	0	707.9748	922.9322	0
29	19.5782	168.2225	0	99.1395	180.3035	0	337.2042	220.8727	0	277.3633	285.0147	0	878.0444	414.7342	0	390.1138	510.2070	0	641.3116	591.2730	0	512.7462	685.5363	0	430.5301	717.9362	0	607.3495	840.6468	0	1141.4965	456.0670	0	1247.7971	539.4493	0	1284.0654	722.7006	0	711.3104	926.3225	0	1272.4830	1.4322	0	1266.2802	2.5496	0	1265.9215	2.0490	0	1136.0631	455.9437	0	1243.8909	534.1414	0	1285.4510	718.6669	0	708.0324	923.5744	0
30	19.6940	167.9969	0	99.0409	180.4657	0	336.9472	220.8112	0	277.5200	284.8986	0	878.2272	413.9408	0	390.4381	510.7548	0	641.9172	591.7664	0	513.5240	685.0719	0	430.7941	717.9208	0	608.2064	840.6229	0	1142.0868	455.8230	0	1247.3391	539.9106	0	1283.3119	721.6006	0	711.3035	926.4368	0	1272.5385	1.2692	0	1266.2817	2.5423	0	1265.9090	2.1455	0	1135.5114	456.8284	0	1243.6882	533.6163	0	1285.4728	718.8225	0	708.0924	924.2546	0
31	19.7473	167.4103	0	98.7432	179.9966	0	336.7887	220.7981	0	277.4837	284.8398	0	878.4565	414.0517	0	390.2908	510.8138	0	641.5096	591.4830	0	514.1440	684.9882	0	430.7561	718.5270	0	608.4641	839.9457	0	1143.1875	456.1753	0	1247.1754	540.6259	0	1283.1581	720.9997	0	711.3484	926.4694	0	1273.5000	0.8929	0	1265.9962	2.4389	0	1265.6552	2.2414	0	1135.3096	456.6830	0	1243.7782	533.5802	0	1285.6416	719.2673	0	707.5825	924.2291	0
32	19.9283	166.8433	0	98.7418	179.7432	0	337.0467	220.2509	0	277.4638	284.8502	0	878.8152	414.1024	0	390.4701	511.1635	0	641.8664	592.4711	0	513.9614	685.0761	0	431.3259	718.6458	0	609.5411	839.6096	0	1142.7538	456.6483	0	1246.7520	541.4340	0	1283.3717	721.0041	0	710.5026	927.1642	0	1272.9231	0.9231	0	1265.4648	2.5423	0	1266.2767	2.1019	0	1135.6262	456.2265	0	1243.2113	533.7388	0	1286.1284	718.8215	0	707.2957	924.8394	0
