Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
77	 	 	 	 	 	 	 	 	 	881.80361	668.70621	 	850.66226	344.37556	 	858.28092	331.21250	 	 	 	 
78	 	 	 	 	 	 	 	 	 	882.08036	668.54657	 	850.37646	342.17443	 	860.03704	330.86557	 	 	 	 
79	 	 	 	 	 	 	 	 	 	882.67815	669.40284	 	850.06934	343.92691	 	858.95486	331.18663	 	 	 	 
80	 	 	 	 	 	 	 	 	 	882.59381	667.08345	 	856.19642	342.92259	 	 	 	 	 	 	 
81	 	 	 	 	 	 	 	 	 	882.30709	665.66234	 	857.24873	343.06195	 	 	 	 	 	 	 
82	 	 	 	 	 	 	 	 	 	881.12413	661.94471	 	856.41290	343.66866	 	 	 	 	 	 	 
83	 	 	 	 	 	 	 	 	 	881.20241	662.31538	 	853.05935	344.66631	 	858.44093	330.11814	*	 	 	 
84	 	 	 	 	 	 	 	 	 	883.28339	662.38375	 	848.89177	343.58518	 	858.50554	331.74231	 	 	 	 
85	 	 	 	 	 	 	 	 	 	886.69462	659.49513	 	844.85353	340.68162	 	858.38984	332.87626	 	 	 	 
86	 	 	 	 	 	 	 	 	 	888.71535	660.11543	 	842.43716	339.07085	 	857.61762	333.85445	 	 	 	 
87	 	 	 	 	 	 	 	 	 	891.12707	660.15990	 	841.66246	338.31813	 	857.03769	334.11845	 	871.17550	672.87252	 
88	 	 	 	 	 	 	 	 	 	889.86126	661.43125	 	839.73259	341.05507	 	856.37024	334.23510	 	870.50680	672.77864	 
89	 	 	 	 	 	 	 	 	 	890.25268	663.03940	 	841.51104	342.84679	 	856.64861	333.77201	 	871.30258	672.84317	 
90	 	 	 	 	 	 	 	 	 	893.72721	663.27716	 	843.17837	342.27353	 	857.43478	332.79881	 	872.91340	672.77537	 
91	 	 	 	 	 	 	 	 	 	893.07452	662.81116	 	841.38178	339.27807	 	857.39538	333.67840	 	873.83937	672.50441	 
92	 	 	 	 	 	 	 	 	 	892.89379	665.53515	 	840.52110	339.68595	 	855.82752	334.83965	 	872.91244	672.72716	 
93	 	 	 	 	 	 	 	 	 	889.58725	666.45144	 	840.35845	337.00281	 	856.84310	334.62238	 	870.04806	672.59519	 
94	 	 	 	 	 	 	 	 	 	888.48597	669.28427	 	837.83996	335.23041	 	854.93157	334.84459	 	868.83636	672.26667	 
95	 	 	 	 	 	 	 	 	 	888.19670	668.63286	 	836.75557	334.99185	 	854.83016	334.74742	 	868.60690	672.33103	 
96	 	 	 	 	 	 	 	 	 	889.69164	668.66729	 	835.41768	338.80115	 	854.03722	334.90481	 	869.84696	672.44444	 
97	 	 	 	 	 	 	 	 	 	886.55749	671.38342	 	838.38545	341.05812	 	855.27732	334.82667	 	 	 	 
98	 	 	 	 	 	 	 	 	 	889.47139	671.15668	 	833.82108	339.27661	 	853.45836	335.13806	 	869.32153	672.31335	*
99	 	 	 	 	 	 	 	 	 	889.65104	674.87335	 	831.22580	336.24583	 	853.39830	334.82038	 	869.39604	671.31881	 
100	 	 	 	 	 	 	 	 	 	892.25402	675.84323	 	832.21861	335.07765	 	853.34299	334.80649	 	871.73846	672.90909	 
101	 	 	 	 	 	 	 	 	 	894.44003	674.52891	 	831.84741	330.77804	 	853.59346	334.46257	 	873.01601	672.54557	 
102	 	 	 	 	 	 	 	 	 	892.77165	673.14642	 	834.78216	327.55899	 	853.71849	333.87355	 	871.63295	672.98369	 
103	 	 	 	 	 	 	 	 	 	892.23223	676.76550	 	831.45274	328.53428	 	854.54786	334.04392	 	871.36081	672.75270	 
104	 	 	 	 	 	 	 	 	 	891.30345	678.27920	 	830.68685	327.11729	 	854.83413	333.80072	 	872.83548	672.49247	 
105	 	 	 	 	 	 	 	 	 	894.10238	679.30630	 	832.54962	326.27615	 	854.52184	333.79563	 	875.55633	672.34397	 
106	 	 	 	 	 	 	 	 	 	893.12244	678.98304	 	834.78953	326.29321	 	853.50867	334.07132	 	874.66495	672.29563	 
107	 	 	 	 	 	 	 	 	 	890.22751	680.68927	 	832.87313	326.02280	 	854.00926	334.14248	 	871.03836	672.46036	 
108	 	 	 	 	 	 	 	 	 	890.08957	679.90244	 	834.79963	323.10869	 	853.91431	333.58502	 	869.80094	672.21546	 
109	 	 	 	 	 	 	 	 	 	891.13589	678.60748	 	838.11325	321.00454	 	854.21979	333.62198	 	871.34870	672.68444	 
110	 	 	 	 	 	 	 	 	 	890.50546	678.16548	 	840.20173	322.16820	 	854.03466	333.90492	 	871.07088	672.47036	 
111	 	 	 	 	 	 	 	 	 	889.28469	679.13521	 	843.97338	319.46232	 	854.98083	333.80390	 	870.69417	672.47816	 
112	 	 	 	 	 	 	 	 	 	889.13705	682.96853	 	845.19236	321.36424	 	854.97771	334.14314	 	873.22991	672.30315	 
113	 	 	 	 	 	 	 	 	 	885.32608	683.37018	 	845.03760	321.13787	 	854.98308	334.09837	 	869.50787	671.42060	 
114	 	 	 	 	 	 	 	 	 	884.58381	682.09458	 	845.71660	322.95806	 	855.20082	334.50102	 	869.28103	671.17404	 
115	 	 	 	 	 	 	 	 	 	882.30232	683.31132	 	844.68332	325.09932	 	855.85875	334.86454	 	868.94239	670.65844	 
116	 	 	 	 	 	 	 	 	 	882.67260	689.17437	 	843.18162	326.19394	 	855.54258	334.57087	 	873.94951	672.06631	 
117	 	 	 	 	 	 	 	 	 	881.94705	689.48635	 	843.23349	326.77472	 	855.67666	334.84630	 	874.42526	672.32281	 
118	 	 	 	 	 	 	 	 	 	882.78088	690.22036	 	838.50005	324.35329	 	853.82693	333.88118	 	874.72578	672.47615	 
119	 	 	 	 	 	 	 	 	 	885.43907	689.91191	 	835.89775	326.69789	 	853.41402	333.78854	 	874.49481	672.44773	 
120	 	 	 	 	 	 	 	 	 	886.58638	687.68237	 	833.49820	323.48920	 	855.00366	333.70689	 	874.14590	672.05994	 

Track 	Length	Distance traveled	Nr of Frames
1	93.97857	22.10953	24
2	97.96319	5.27627	33
3	37.74258	29.28991	12
4	314.55731	50.46698	119
5	242.16046	25.95961	82
6	49.59487	6.01103	54
7	44.62058	3.07954	33
