Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11
Tracks 1 to 11
43	 	 	 	 	 	 	 	 	 	847.08558	788.40567	 	112.66081	273.53043	 	839.81631	787.54022	 	117.65720	302.25046	 	 	 	 	 	 	 	 	 	 	 	 	 
44	 	 	 	 	 	 	 	 	 	843.38762	789.28460	 	113.40593	274.64821	 	838.13648	788.45639	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
45	 	 	 	 	 	 	 	 	 	843.23948	787.66491	 	115.73266	275.01296	 	838.85026	787.98785	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
46	 	 	 	 	 	 	 	 	 	842.70075	788.48483	 	117.00932	276.86714	 	838.90723	788.37071	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
47	 	 	 	 	 	 	 	 	 	846.70118	787.15841	 	 	 	 	840.45716	786.96658	 	103.01496	287.20525	*	123.51568	267.85318	 	 	 	 	 	 	 	 	 	 
48	 	 	 	 	 	 	 	 	 	849.98360	782.28121	 	 	 	 	842.01276	783.69583	 	99.82224	287.61721	 	123.02714	269.11857	 	 	 	 	 	 	 	 	 	 
49	 	 	 	 	 	 	 	 	 	848.47618	786.82988	 	107.78102	268.62849	*	842.39426	786.70586	 	97.38600	289.12065	 	130.10907	273.93980	 	 	 	 	 	 	 	 	 	 
50	 	 	 	 	 	 	 	 	 	846.59726	786.14073	 	111.26196	274.60554	 	840.53495	786.22784	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51	 	 	 	 	 	 	 	 	 	848.58070	782.31260	 	108.83459	269.01938	 	841.53010	784.63192	 	97.55852	288.88671	*	130.79119	273.97860	*	 	 	 	 	 	 	 	 	 
52	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	839.90289	785.18941	 	96.25986	289.22712	 	129.05550	272.89327	 	 	 	 	 	 	 	 	 	 
